Region,Bronze,Silver,Gold,No Win,Attempts,Wins,Athletes
Afghanistan,2,0,0,124,126,2,103
Albania,0,0,0,70,70,0,45
Algeria,8,4,5,534,551,17,373
American Samoa,0,0,0,37,37,0,29
Andorra,0,0,0,169,169,0,61
Angola,0,0,0,267,267,0,163
Antigua,0,0,0,133,133,0,70
Argentina,91,92,91,3023,3297,274,1848
Armenia,9,5,2,205,221,16,146
Aruba,0,0,0,42,42,0,32
Australia,522,459,368,6375,7724,1349,3870
Austria,156,186,108,4691,5141,450,2337
Azerbaijan,25,12,7,239,283,44,193
Bahamas,15,11,14,334,374,40,162
Bahrain,1,1,1,123,126,3,90
Bangladesh,0,0,0,55,55,0,38
Barbados,1,0,0,218,219,1,115
Belarus,71,44,24,1648,1787,139,763
Belgium,173,197,98,3389,3857,468,2078
Belize,0,0,0,76,76,0,52
Benin,0,0,0,71,71,0,54
Bermuda,1,0,0,211,212,1,121
Bhutan,0,0,0,36,36,0,21
Boliva,0,0,0,152,152,0,89
Bosnia and Herzegovina,0,0,0,134,134,0,73
Botswana,0,1,0,89,90,1,62
Brazil,191,175,109,3373,3848,475,2053
Brunei,0,0,0,10,10,0,9
Bulgaria,144,144,54,3188,3530,342,1502
Burkina Faso,0,0,0,44,44,0,32
Burundi,0,1,1,37,39,2,25
Cambodia,0,0,0,63,63,0,45
Cameroon,1,1,20,290,312,22,227
Canada,451,438,463,8382,9734,1352,4812
Cape Verde,0,0,0,18,18,0,13
Cayman Islands,0,0,0,83,83,0,39
Central African Republic,0,0,0,67,67,0,50
Chad,0,0,0,41,41,0,27
Chile,20,9,3,893,925,32,525
China,293,349,351,4833,5826,993,2985
Colombia,14,9,5,1041,1069,28,617
Comoros,0,0,0,19,19,0,15
Cook Islands,0,0,0,40,40,0,30
Costa Rica,2,1,1,260,264,4,156
Croatia,37,54,58,727,876,149,428
Cuba,116,129,164,2070,2479,409,1283
Curacao,0,1,0,78,79,1,55
Cyprus,0,1,0,224,225,1,120
Czech Republic,259,262,123,5787,6431,644,2782
Democratic Republic of the Congo,0,0,0,93,93,0,69
Denmark,177,241,179,2973,3570,597,1923
Djibouti,1,0,0,37,38,1,28
Dominica,0,0,0,19,19,0,17
Dominican Republic,2,2,3,270,277,7,208
Ecuador,0,1,1,275,277,2,158
Egypt,12,8,7,1595,1622,27,1000
El Salvador,0,0,0,218,218,0,126
Equatorial Guinea,0,0,0,40,40,0,26
Eritrea,1,0,0,42,43,1,26
Estonia,25,12,13,826,876,50,354
Ethiopia,22,9,22,325,378,53,232
Fiji,0,0,13,219,232,13,128
Finland,432,270,198,4567,5467,900,2347
France,666,610,501,10981,12758,1777,6170
Gabon,0,1,0,62,63,1,48
Gambia,0,0,0,56,56,0,33
Georgia,18,6,8,254,286,32,167
Germany,1260,1195,1301,12127,15883,3756,7575
Ghana,22,1,0,336,359,23,245
Greece,84,109,62,2937,3192,255,1717
Grenada,0,1,1,52,54,2,44
Guam,0,0,0,112,112,0,66
Guatemala,0,1,0,424,425,1,240
Guinea,0,0,0,73,73,0,60
Guinea-Bissau,0,0,0,21,21,0,15
Guyana,1,0,0,101,102,1,75
Haiti,5,1,1,99,106,7,76
Honduras,0,0,0,189,189,0,132
Hungary,371,332,432,5472,6607,1135,2761
Iceland,2,15,0,610,627,17,297
India,40,19,138,1211,1408,197,892
Individual Olympic Athletes,3,1,1,89,94,5,76
Indonesia,13,17,11,371,412,41,275
Iran,29,21,18,721,789,68,526
Iraq,1,0,0,231,232,1,194
Ireland,13,13,9,1290,1325,35,800
Israel,7,1,1,656,665,9,353
Italy,531,531,575,9078,10715,1637,4935
Ivory Coast,1,1,1,190,193,3,124
Jamaica,44,75,38,691,848,157,370
Japan,357,309,247,7531,8444,913,4067
Jordan,0,0,1,79,80,1,61
Kazakhstan,32,25,20,1352,1429,77,694
Kenya,31,41,34,666,772,106,515
Kiribati,0,0,0,11,11,0,9
Kosovo,0,0,1,7,8,1,8
Kuwait,2,0,0,282,284,2,192
Kyrgyzstan,2,1,0,224,227,3,129
Laos,0,0,0,54,54,0,47
Latvia,13,19,3,916,951,35,445
Lebanon,2,2,0,325,329,4,176
Lesotho,0,0,0,66,66,0,51
Liberia,0,0,0,74,74,0,42
Libya,0,0,0,84,84,0,68
Liechtenstein,5,2,2,360,369,9,131
Lithuania,48,7,6,593,654,61,320
Luxembourg,0,4,4,988,996,8,379
Macedonia,1,0,0,83,84,1,47
Madagascar,0,0,0,119,119,0,76
Malawi,0,0,0,87,87,0,59
Malaysia,5,11,0,561,577,16,340
Maldives,0,0,0,49,49,0,31
Mali,0,0,0,92,92,0,75
Malta,0,0,0,118,118,0,82
Marshall Islands,0,0,0,14,14,0,12
Mauritania,0,0,0,29,29,0,22
Mauritius,1,0,0,143,144,1,88
Mexico,54,26,30,2770,2880,110,1549
Micronesia,0,0,0,26,26,0,18
Moldova,5,3,0,226,234,8,131
Monaco,1,0,0,196,197,1,82
Mongolia,14,10,2,524,550,26,292
Montenegro,0,14,0,80,94,14,55
Morocco,12,5,6,659,682,23,460
Mozambique,1,0,1,76,78,2,52
Myanmar,0,0,0,111,111,0,86
Namibia,0,4,0,73,77,4,40
Nauru,0,0,0,13,13,0,10
Nepal,0,0,1,93,94,1,80
Netherlands,413,340,287,4799,5839,1040,2939
New Zealand,82,56,90,2114,2342,228,1326
Nicaragua,0,0,0,129,129,0,95
Niger,1,1,0,45,47,2,42
Nigeria,46,30,23,783,882,99,565
North Korea,35,16,16,740,807,67,405
Norway,294,361,378,3927,4960,1033,2216
Oman,0,0,0,66,66,0,42
Pakistan,34,45,42,441,562,121,363
Palau,0,0,0,25,25,0,21
Palestine,0,0,0,21,21,0,20
Panama,2,0,1,136,139,3,86
Papua New Guinea,0,0,0,108,108,0,61
Paraguay,0,17,0,118,135,17,104
Peru,0,14,1,517,532,15,353
Philippines,7,3,0,684,694,10,389
Poland,253,195,117,5642,6207,565,2970
Portugal,26,11,4,1481,1522,41,730
Puerto Rico,6,2,1,918,927,9,562
Qatar,4,1,0,187,192,5,141
Republic of Congo,0,0,0,105,105,0,74
Romania,292,200,161,3752,4405,653,1798
Russia,1178,1170,1599,7745,11692,3947,5610
Rwanda,0,0,0,56,56,0,37
Saint Kitts,0,0,0,42,42,0,19
Saint Lucia,0,0,0,28,28,0,21
Saint Vincent,0,0,0,42,42,0,28
Samoa,0,0,0,63,63,0,53
San Marino,0,0,0,181,181,0,92
Sao Tome and Principe,0,0,0,15,15,0,13
Saudi Arabia,5,1,0,224,230,6,149
Senegal,0,1,0,392,393,1,234
Serbia,160,222,157,2757,3296,539,1661
Seychelles,0,0,0,111,111,0,64
Sierra Leone,0,0,0,114,114,0,62
Slovakia,13,19,15,1008,1055,47,457
Slovenia,27,13,8,1063,1111,48,420
Solomon Islands,0,0,0,27,27,0,20
Somalia,0,0,0,32,32,0,22
South Africa,52,47,32,1580,1711,131,963
South Korea,185,232,221,3826,4464,638,2393
South Sudan,0,0,0,3,3,0,3
Spain,136,243,110,4824,5313,489,2637
Sri Lanka,0,2,0,144,146,2,93
Sudan,0,1,0,106,107,1,81
Suriname,1,0,1,67,69,2,33
Swaziland,0,0,0,67,67,0,42
Sweden,535,522,479,6803,8339,1536,3787
Switzerland,268,248,175,5459,6150,691,2883
Syria,2,2,1,274,279,5,206
Taiwan,18,28,3,1048,1097,49,566
Tajikistan,2,1,1,66,70,4,45
Tanzania,0,2,0,159,161,2,110
Thailand,13,8,9,717,747,30,462
Timor-Leste,0,0,0,9,9,0,8
Togo,1,0,0,58,59,1,42
Tonga,0,1,0,45,46,1,38
Trinidad,22,8,7,358,395,37,178
Tunisia,7,3,3,548,561,13,416
Turkey,28,27,40,1261,1356,95,808
Turkmenistan,0,0,0,54,54,0,41
Uganda,2,3,2,253,260,7,178
UK,651,739,678,10188,12256,2068,6281
Ukraine,100,52,47,2360,2559,199,1134
United Arab Emirates,1,0,1,142,144,2,78
Uruguay,30,2,31,513,576,63,366
USA,1358,1641,2638,13216,18853,5637,9653
Uzbekistan,17,7,10,461,495,34,295
Vanuatu,0,0,0,35,35,0,25
Venezuela,10,3,2,910,925,15,549
Vietnam,0,3,1,212,216,4,143
"Virgin Islands, British",0,0,0,45,45,0,28
"Virgin Islands, US",0,1,0,293,294,1,150
Yemen,0,0,0,48,48,0,43
Zambia,1,1,0,181,183,2,145
Zimbabwe,1,4,17,301,323,22,205
